InternetGatewayDevice.LANDevice.1.Hosts.Host.1.InterfaceType 	 Ethernet	0	xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.IPAddress 	 192.168.1.2	0	xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.Layer2Interface 	 InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.,	0	xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.LeaseTimeRemaining 	81622	0	xsd:int
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.MACAddress 	 0023.5471.df68	0	xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.UserClassID 	 undef	0	xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.VendorClassID 	 MSFT 5.0	0	xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.HostNumberOfEntries 	1	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.DuplexMode 	 Auto	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Enable 	1	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MACAddress 	 8C:10:D4:30:FF:79	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MACAddressControlEnabled 	0	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MaxBitRate 	 Auto	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Name 	 eth1	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.BroadcastPacketsReceived 	4098	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.BroadcastPacketsSent 	12	0	xsd:unsignedInt
